Age,Gender,Year of Study,Use Instagram,Use Twitter,Use Snapchat,Use Tiktok,Time Spent,Academic Purpose,Entertainment,Social Interaction,Addiction,Difficulty in Concentrating on Studies,Impact on Academic Performance
21,2.0,4,1.0,1,1,1,1,1,1,1,0,3,4.0
22,1.0,5,1.0,1,1,1,3,1,1,1,0,1,3.0
23,2.0,4,1.0,1,1,1,2,1,1,1,0,3,4.0
18,2.0,5,1.0,1,1,1,2,1,1,1,1,4,3.0
17,1.0,1,0.0,0,0,0,1,1,1,1,0,3,4.0
19,2.0,2,1.0,1,1,1,3,1,1,1,0,4,5.0
21,2.0,4,1.0,1,1,1,2,1,1,1,0,3,4.0
20,2.0,4,1.0,1,1,1,2,1,1,1,0,3,4.0
16,2.0,1,0.0,0,0,0,2,1,1,1,0,1,4.0
21,1.0,4,1.0,1,1,1,2,1,1,1,1,5,4.0
18,2.0,3,1.0,1,1,1,1,1,1,1,0,3,4.0
18,2.0,3,1.0,0,1,1,4,1,1,0,1,4,4.0
20,1.0,3,1.0,1,1,1,3,1,0,1,1,4,3.0
17,1.0,2,1.0,1,1,1,2,1,1,1,1,2,4.0
19,2.0,2,0.0,1,1,0,2,1,1,1,0,1,5.0
18,1.0,3,1.0,1,1,1,2,1,1,1,1,4,4.0
20,1.0,2,0.0,0,0,1,1,1,0,1,1,5,5.0
20,2.0,2,1.0,0,0,0,1,1,0,0,1,5,5.0
16,2.0,2,1.0,0,0,0,4,0,1,0,0,4,5.0
17,1.0,2,1.0,1,0,1,3,1,1,1,1,4,5.0
20,2.0,2,1.0,1,1,1,3,0,1,1,1,4,4.0
18,2.0,2,1.0,0,0,0,1,0,1,0,1,2,5.0
18,1.0,3,0.0,1,1,0,2,0,1,0,0,1,4.0
18,2.0,2,1.0,0,1,1,1,1,1,1,1,5,5.0
19,2.0,2,1.0,1,1,1,3,1,1,1,1,5,5.0
15,2.0,2,1.0,0,1,1,4,1,1,0,0,1,4.0
17,1.0,2,1.0,1,0,1,2,1,1,1,1,5,4.0
17,1.0,4,0.0,1,0,1,3,1,1,1,1,3,5.0
19,1.0,2,1.0,0,1,1,4,1,1,1,1,4,4.0
18,2.0,2,1.0,0,0,0,2,0,0,0,1,3,5.0
17,2.0,2,0.0,0,1,1,3,1,1,1,1,3,3.0
19,1.0,2,1.0,0,0,1,4,0,1,1,1,2,4.0
19,1.0,3,1.0,1,1,0,4,1,1,1,0,1,5.0
19,2.0,2,1.0,0,0,1,4,1,1,0,1,2,3.0
27,1.0,2,1.0,1,0,1,4,1,1,1,1,3,4.0
17,1.0,2,0.0,1,1,0,2,1,1,1,1,2,3.0
17,2.0,2,1.0,1,1,1,3,1,1,1,1,1,5.0
17,1.0,2,1.0,0,0,1,2,1,1,1,1,4,4.0
19,2.0,2,1.0,1,0,1,2,1,1,1,1,1,5.0
18,2.0,2,1.0,1,0,1,3,1,1,0,1,3,3.0
18,2.0,2,1.0,1,1,1,2,1,1,1,1,2,3.0
19,2.0,3,1.0,0,1,1,4,1,1,1,1,3,4.0
18,2.0,4,1.0,1,1,1,4,1,1,1,1,3,4.0
18,1.0,3,0.0,1,1,0,3,0,0,0,1,3,2.0
16,2.0,1,1.0,1,1,1,4,0,1,1,1,5,1.0
19,2.0,2,1.0,0,0,1,2,1,0,0,0,5,3.0
19,2.0,4,0.0,0,0,1,3,1,1,1,1,4,4.0
20,2.0,4,1.0,0,0,0,2,1,1,1,1,3,5.0
17,2.0,2,1.0,1,1,1,3,1,1,1,1,4,5.0
18,2.0,3,1.0,0,0,0,1,1,1,1,1,5,4.0
21,2.0,3,1.0,1,0,1,4,0,1,1,1,5,5.0
21,2.0,4,1.0,0,0,1,4,1,1,1,1,4,4.0
17,2.0,2,1.0,0,1,1,3,1,1,1,0,5,3.0
17,2.0,2,1.0,0,0,1,2,0,1,1,1,1,3.0
18,2.0,2,0.0,0,0,1,4,0,1,0,1,5,3.0
14,2.0,2,1.0,1,1,1,3,1,1,1,0,5,5.0
17,2.0,2,1.0,0,0,1,1,1,1,1,1,5,5.0
18,2.0,2,0.0,0,1,1,3,1,1,1,1,3,5.0
17,2.0,2,1.0,0,1,1,3,1,1,1,1,5,5.0
17,2.0,3,1.0,1,1,1,4,1,1,1,1,5,5.0
18,2.0,2,1.0,0,1,1,3,1,1,1,1,4,3.0
19,2.0,2,1.0,0,1,1,2,1,1,0,1,5,5.0
18,2.0,2,1.0,0,1,1,2,1,1,0,1,5,5.0
16,2.0,2,0.0,0,0,0,3,1,1,1,1,5,5.0
19,1.0,2,1.0,0,0,1,1,1,1,0,0,2,3.0
22,1.0,2,1.0,1,1,1,3,1,1,1,1,5,5.0
18,1.0,2,1.0,1,1,1,2,1,1,1,1,2,4.0
18,1.0,2,1.0,1,1,1,4,1,1,1,1,1,4.0
18,1.0,2,1.0,0,0,1,1,1,1,1,1,3,5.0
18,1.0,2,1.0,1,1,1,2,0,1,1,1,4,5.0
19,1.0,2,1.0,0,0,1,4,1,1,1,1,2,4.0
20,1.0,2,1.0,0,0,0,3,1,1,1,1,2,5.0
18,1.0,2,1.0,0,0,0,2,1,1,1,0,1,5.0
17,1.0,2,1.0,0,0,1,4,0,1,0,0,1,3.0
17,1.0,1,1.0,0,0,0,3,1,1,1,0,5,5.0
20,1.0,2,1.0,1,0,0,3,1,1,1,1,5,5.0
18,1.0,2,1.0,1,0,1,3,1,0,1,0,3,4.0
19,1.0,2,1.0,1,1,1,4,1,1,1,1,3,5.0
19,2.0,2,1.0,0,0,0,1,0,1,0,0,4,3.0
18,1.0,2,1.0,1,1,1,2,1,1,1,1,1,4.0
19,2.0,2,1.0,0,1,1,2,1,1,1,1,3,5.0
30,2.0,3,1.0,1,1,1,4,1,1,1,1,4,3.0
20,1.0,3,1.0,0,0,0,3,1,0,1,1,2,4.0
25,1.0,3,1.0,0,0,1,4,1,1,1,1,4,5.0
17,1.0,2,0.0,0,0,0,3,1,1,0,0,5,4.0
20,2.0,3,1.0,1,0,0,2,1,1,1,0,1,3.0
17,1.0,2,1.0,0,0,0,2,1,1,0,1,5,5.0
19,2.0,2,1.0,0,0,0,2,0,1,1,0,1,4.0
17,1.0,2,1.0,1,0,1,2,1,1,1,0,4,4.0
17,2.0,2,1.0,0,0,0,3,1,1,1,1,5,5.0
20,2.0,2,1.0,0,0,0,3,1,1,1,1,5,5.0
21,2.0,2,1.0,0,0,0,3,1,1,1,1,2,5.0
17,1.0,1,0.0,1,0,1,2,0,0,1,0,3,4.0
18,1.0,1,1.0,1,1,1,2,0,1,1,0,3,5.0
15,2.0,2,1.0,1,1,1,2,0,1,1,1,3,4.0
23,2.0,1,1.0,1,1,0,3,1,0,0,0,5,3.0
19,1.0,2,1.0,1,1,0,3,0,1,0,1,2,3.0
21,2.0,2,1.0,0,0,0,2,1,0,0,0,1,3.0
23,1.0,1,0.0,1,1,1,3,1,0,0,0,5,3.0
19,2.0,1,0.0,1,1,1,3,1,0,0,0,4,3.0
17,1.0,1,0.0,1,1,1,2,1,0,1,0,2,4.0
21,2.0,3,1.0,0,1,1,3,1,0,1,0,5,3.0
20,2.0,2,1.0,1,1,1,2,0,1,0,1,5,4.0
17,1.0,2,0.0,0,0,1,3,0,1,0,0,1,5.0
16,1.0,2,1.0,1,0,0,4,1,1,1,1,4,3.0
19,1.0,2,1.0,0,0,1,2,0,0,0,1,5,3.0
18,2.0,2,1.0,0,0,1,1,0,1,0,1,4,2.0
18,1.0,3,1.0,0,0,0,2,0,0,1,0,5,3.0
19,2.0,3,1.0,0,0,1,2,0,1,0,1,4,3.0
20,1.0,2,1.0,1,0,1,1,1,0,1,0,1,5.0
17,1.0,2,1.0,1,1,1,2,1,1,1,0,5,2.0
19,1.0,3,1.0,0,0,0,1,1,1,1,0,5,4.0
19,1.0,2,1.0,1,1,1,2,1,1,0,1,3,3.0
20,1.0,3,1.0,1,0,0,2,0,0,1,1,1,3.0
20,1.0,3,1.0,0,1,1,2,0,1,1,1,4,3.0
19,2.0,3,0.0,1,0,0,1,1,0,0,0,4,4.0
17,2.0,2,1.0,0,0,1,1,0,1,1,1,4,5.0
17,1.0,2,1.0,1,1,1,3,1,1,1,1,4,1.0
17,1.0,2,1.0,0,0,1,1,0,1,1,1,5,4.0
21,1.0,3,1.0,0,1,1,2,0,1,0,1,5,4.0
18,1.0,2,1.0,1,1,1,3,1,1,1,0,4,4.0
17,1.0,2,1.0,0,1,1,4,1,1,1,1,2,4.0
20,1.0,3,1.0,1,1,1,2,1,1,0,1,5,4.0
18,2.0,4,1.0,1,1,0,1,1,1,0,1,4,2.0
19,2.0,3,1.0,1,1,1,1,0,1,0,1,5,5.0
23,1.0,3,1.0,1,0,1,1,1,1,1,1,3,4.0
18,1.0,2,0.0,1,0,0,1,0,0,0,1,2,3.0
19,1.0,4,1.0,1,0,0,1,1,1,0,1,3,3.0
16,2.0,5,1.0,0,1,1,4,1,1,1,1,2,1.0
17,1.0,2,1.0,0,0,1,2,1,1,1,1,5,3.0
18,1.0,2,1.0,1,1,1,1,1,0,1,1,3,4.0
18,1.0,2,1.0,1,0,1,3,1,0,1,0,3,4.0
20,2.0,3,1.0,1,1,0,2,1,1,1,0,1,3.0
19,2.0,2,1.0,0,0,0,1,0,1,1,0,1,4.0
20,1.0,4,1.0,0,0,0,3,1,1,1,0,5,3.0
18,1.0,2,1.0,1,1,1,3,1,1,1,1,4,2.0
20,2.0,4,1.0,1,1,1,3,1,1,1,1,4,4.0
16,2.0,2,1.0,0,1,1,3,0,0,0,1,1,4.0
18,2.0,2,1.0,0,1,1,4,1,1,1,1,5,3.0
20,1.0,4,0.0,0,1,0,4,0,1,0,0,1,5.0
18,1.0,3,1.0,1,1,1,3,0,1,1,0,3,4.0
18,1.0,3,1.0,1,0,0,1,0,1,1,0,1,3.0
18,1.0,3,1.0,0,0,0,1,0,1,1,0,1,3.0
19,1.0,3,1.0,0,0,0,1,1,1,1,0,1,4.0
17,2.0,2,1.0,0,1,1,4,1,1,1,1,5,4.0
18,1.0,2,0.0,1,0,0,1,0,0,0,0,2,4.0
20,2.0,2,1.0,0,0,0,3,1,1,1,0,5,4.0
20,1.0,2,1.0,0,1,1,4,1,1,1,1,5,4.0
18,2.0,2,1.0,0,1,0,3,1,0,1,1,5,3.0
18,1.0,2,1.0,0,0,0,3,0,1,0,0,3,4.0
19,1.0,2,1.0,0,0,0,2,0,1,0,1,4,5.0
18,1.0,2,1.0,0,0,0,1,0,0,1,0,5,5.0
17,1.0,2,1.0,1,1,1,1,1,1,1,1,2,3.0
19,2.0,2,1.0,0,0,1,2,1,1,0,0,2,5.0
17,1.0,2,1.0,0,1,1,2,1,1,1,1,3,5.0
18,1.0,2,1.0,1,1,1,4,0,0,1,0,5,5.0
17,2.0,2,0.0,0,0,0,2,0,0,1,1,1,3.0
18,2.0,2,1.0,1,1,1,1,1,1,1,1,1,5.0
18,2.0,1,1.0,0,1,1,3,0,1,0,1,5,3.0
18,1.0,2,1.0,0,0,1,3,1,1,1,0,1,4.0
16,1.0,5,1.0,0,1,1,4,1,0,1,0,1,3.0
31,1.0,1,1.0,1,1,0,2,0,0,1,0,1,2.0
18,1.0,2,1.0,1,1,1,4,1,1,0,1,5,4.0
19,2.0,2,1.0,0,1,1,3,1,1,1,0,1,4.0
19,1.0,3,1.0,1,0,1,3,0,0,1,0,2,5.0
17,1.0,2,1.0,0,1,1,4,0,1,0,0,2,5.0
19,2.0,2,1.0,1,1,1,4,1,1,1,1,5,5.0
19,2.0,2,1.0,0,1,1,3,1,1,1,1,3,5.0
17,1.0,2,1.0,1,1,1,3,1,1,1,0,1,5.0
21,2.0,4,1.0,0,1,0,1,1,1,1,1,5,5.0
18,2.0,3,0.0,0,0,0,1,0,0,1,0,5,3.0
19,1.0,3,1.0,0,0,0,2,0,1,0,1,5,3.0
17,1.0,1,1.0,1,1,1,2,1,1,1,0,5,5.0
17,1.0,4,0.0,1,0,1,1,1,1,1,1,5,2.0
20,1.0,2,1.0,0,1,1,4,1,1,1,0,4,4.0
18,1.0,2,1.0,0,0,0,3,1,0,0,1,5,5.0
19,1.0,2,1.0,1,1,1,3,1,1,1,1,4,4.0
17,1.0,2,0.0,0,1,0,2,1,0,0,1,5,5.0
18,1.0,3,1.0,0,0,0,1,0,0,1,0,1,3.0
20,1.0,2,1.0,1,1,1,2,1,1,1,1,1,4.0
18,1.0,1,1.0,0,0,1,2,1,1,1,0,1,5.0
17,2.0,1,1.0,1,1,1,4,1,1,1,0,5,3.0
19,1.0,3,1.0,1,1,1,3,1,1,1,0,2,4.0
20,2.0,2,1.0,0,0,0,2,1,0,0,0,3,5.0
19,1.0,2,0.0,0,1,0,4,0,1,0,0,4,5.0
21,1.0,2,1.0,1,0,1,3,1,1,1,1,5,5.0
18,1.0,2,1.0,1,1,1,3,1,1,1,1,3,4.0
17,1.0,2,1.0,1,1,1,2,1,1,1,1,2,4.0
19,1.0,2,0.0,0,0,1,3,0,1,0,1,1,3.0
19,1.0,2,1.0,1,1,0,1,1,1,1,1,2,5.0
17,1.0,2,1.0,0,0,1,2,1,1,1,1,5,5.0
15,1.0,1,1.0,0,1,1,2,1,1,1,1,5,5.0
19,2.0,4,1.0,0,1,1,3,0,1,1,1,3,5.0
22,1.0,4,1.0,1,1,1,4,1,1,1,1,2,5.0
20,1.0,3,1.0,1,0,1,1,1,1,1,0,4,3.0
16,1.0,1,1.0,0,0,1,2,1,0,0,1,5,2.0
17,1.0,1,1.0,0,1,1,2,0,1,0,0,5,1.0
16,1.0,1,0.0,0,0,0,1,0,0,1,0,1,1.0
19,1.0,1,1.0,1,1,1,4,1,1,1,1,5,1.0
16,2.0,1,1.0,0,1,1,2,1,1,0,0,1,1.0
18,1.0,1,1.0,1,1,1,2,1,1,1,0,2,2.0
17,1.0,1,1.0,1,1,1,2,0,1,1,1,5,2.0
17,1.0,1,0.0,0,0,0,1,0,0,0,0,1,1.0
19,1.0,1,1.0,0,0,1,3,1,0,0,0,5,2.0
21,1.0,4,1.0,1,0,1,3,0,1,1,0,3,3.0
21,1.0,3,1.0,1,0,0,2,1,0,0,0,2,2.0
19,1.0,4,0.0,0,0,0,2,1,1,1,0,3,1.0
21,1.0,3,1.0,0,1,0,2,1,1,1,0,1,1.0
21,1.0,2,1.0,1,1,1,4,0,1,1,1,5,4.0
18,1.0,2,0.0,0,0,0,3,1,1,0,0,1,2.0
19,1.0,3,1.0,1,1,1,2,1,1,1,0,3,2.0
21,1.0,3,1.0,1,0,0,4,1,1,1,1,5,3.0
17,1.0,2,1.0,1,0,1,1,1,1,0,1,5,2.0
20,1.0,4,1.0,1,1,1,2,1,1,1,1,3,2.0
20,1.0,4,1.0,1,1,1,2,1,1,1,1,4,3.0
21,1.0,4,1.0,0,1,1,2,1,0,1,0,3,3.0
20,1.0,3,1.0,0,1,1,2,0,0,1,0,4,1.0
18,1.0,2,1.0,1,1,1,2,1,1,1,0,4,2.0
20,1.0,3,0.0,0,0,0,1,0,0,1,0,2,3.0
20,1.0,4,0.0,0,0,0,2,0,1,0,1,4,3.0
19,1.0,3,1.0,1,1,1,2,0,1,0,1,5,3.0
21,2.0,4,0.0,1,0,0,4,1,1,1,1,3,1.0
17,2.0,1,1.0,1,1,1,3,1,1,1,1,5,1.0
21,1.0,4,1.0,1,1,1,4,1,1,1,1,5,1.0
17,2.0,2,1.0,0,0,0,2,1,0,0,1,5,5.0
18,2.0,2,1.0,1,1,1,1,1,1,1,1,5,2.0
18,1.0,1,1.0,1,1,1,4,1,1,1,1,5,3.0
20,1.0,3,1.0,1,1,1,1,0,0,1,0,2,1.0
16,2.0,2,1.0,1,1,1,4,0,1,1,0,5,1.0
18,2.0,2,0.0,0,0,0,2,1,0,0,1,4,3.0
17,2.0,2,1.0,0,1,1,3,1,1,1,0,3,2.0
19,1.0,4,1.0,1,1,1,3,0,1,1,0,4,3.0
17,1.0,2,0.0,0,1,1,4,0,1,0,0,1,3.0
18,2.0,2,1.0,0,0,0,3,0,0,0,1,5,4.0
19,2.0,4,1.0,0,1,1,4,1,1,1,1,3,1.0
19,1.0,5,1.0,1,0,0,2,1,0,0,1,5,3.0
20,2.0,3,1.0,0,0,0,3,1,1,1,0,5,1.0
23,2.0,4,1.0,0,0,0,4,0,1,0,1,3,1.0
19,1.0,1,1.0,0,1,1,3,1,1,1,1,5,1.0
19,2.0,3,1.0,0,0,0,3,1,1,1,1,2,3.0
18,2.0,3,1.0,0,0,0,1,0,1,0,0,4,3.0
19,2.0,2,1.0,0,1,1,1,1,1,1,1,3,3.0
18,2.0,2,1.0,0,1,0,2,1,1,1,1,5,3.0
19,2.0,2,0.0,0,0,1,2,1,0,0,1,5,3.0
17,2.0,2,1.0,0,0,1,2,0,1,1,1,1,3.0
17,2.0,3,0.0,0,0,1,1,0,1,0,1,2,2.0
18,2.0,4,1.0,0,0,0,3,0,0,0,1,5,1.0
20,2.0,3,1.0,0,1,1,4,1,1,1,1,3,3.0
18,2.0,2,0.0,0,0,0,2,1,0,0,0,2,1.0
18,2.0,3,1.0,0,1,1,3,1,1,1,0,5,3.0
18,2.0,2,1.0,1,1,1,4,1,1,1,1,4,3.0
18,2.0,3,1.0,0,1,1,3,1,1,1,1,2,3.0
23,2.0,3,1.0,1,1,1,4,0,1,1,1,4,3.0
18,2.0,2,1.0,0,0,1,1,1,0,0,1,5,2.0
18,2.0,3,1.0,0,1,1,3,1,1,1,0,5,1.0
19,1.0,4,1.0,1,1,1,1,1,1,1,1,5,3.0
17,2.0,3,1.0,1,1,1,3,1,1,1,1,1,1.0
19,2.0,2,1.0,0,0,0,2,1,1,0,0,1,1.0
18,2.0,2,1.0,1,1,1,2,1,1,1,1,1,1.0
17,2.0,2,1.0,0,1,1,3,1,1,1,1,2,2.0
19,2.0,2,1.0,1,0,1,2,1,1,1,1,3,2.0
17,1.0,2,1.0,1,1,0,4,1,1,1,1,1,1.0
17,2.0,2,0.0,0,0,0,4,0,1,0,0,5,1.0
31,1.0,5,1.0,1,1,1,1,1,1,1,1,4,3.0
25,2.0,3,1.0,1,1,1,4,1,1,1,1,3,1.0
21,1.0,3,1.0,1,1,1,4,1,0,0,1,1,1.0
22,1.0,3,1.0,0,0,0,1,0,1,0,0,5,1.0
26,2.0,5,1.0,1,1,1,4,1,1,1,1,4,1.0
15,1.0,5,1.0,1,1,0,4,0,1,1,1,4,3.0
27,2.0,3,1.0,1,1,1,2,1,1,1,1,5,3.0
19,1.0,3,1.0,1,1,1,4,1,1,1,0,1,3.0
18,1.0,2,1.0,0,1,1,3,1,1,1,1,5,2.0
19,1.0,2,0.0,0,1,0,2,0,0,1,1,2,1.0
20,1.0,2,1.0,0,1,1,4,1,1,1,1,4,2.0
19,1.0,2,1.0,0,0,0,4,0,0,1,0,4,1.0
20,1.0,4,1.0,1,1,1,1,1,1,1,1,5,1.0
18,2.0,2,1.0,0,1,1,2,1,0,1,0,1,1.0
20,1.0,3,1.0,1,1,1,4,1,1,1,1,5,3.0
22,2.0,3,1.0,1,1,1,4,1,1,1,1,3,2.0
25,1.0,3,1.0,1,1,1,3,1,1,1,1,4,2.0
25,2.0,3,1.0,1,1,1,4,1,1,1,1,5,1.0
18,2.0,3,1.0,0,1,1,2,1,1,1,1,5,2.0
19,1.0,3,1.0,1,0,1,3,0,0,0,0,2,1.0
19,1.0,2,0.0,0,0,0,4,0,0,0,0,1,1.0
19,2.0,4,1.0,0,1,1,4,1,1,1,1,3,4.0
18,2.0,2,1.0,0,1,1,3,1,1,1,0,1,3.0
20,2.0,2,1.0,1,1,1,3,0,1,1,1,2,3.0
18,2.0,2,1.0,1,1,0,3,1,1,1,0,1,4.0
18,1.0,3,0.0,1,0,0,2,1,1,0,1,1,3.0
20,2.0,2,1.0,0,0,0,1,1,0,0,0,3,5.0
17,1.0,2,1.0,0,0,1,2,1,1,1,1,5,5.0
17,1.0,2,1.0,1,0,1,3,1,1,1,1,3,4.0
16,1.0,2,1.0,0,1,1,1,0,1,0,1,2,3.0
20,1.0,2,1.0,1,1,1,2,1,0,0,1,4,3.0
18,2.0,2,0.0,0,0,1,3,0,1,0,0,1,3.0
18,2.0,2,1.0,0,1,1,3,1,1,1,0,1,4.0
17,2.0,2,1.0,0,1,1,1,1,1,1,1,4,4.0
18,2.0,2,0.0,0,0,0,2,1,1,1,1,1,3.0
17,2.0,2,0.0,0,0,1,4,0,1,0,0,5,5.0
17,1.0,2,1.0,0,0,0,1,0,0,0,1,3,5.0
18,1.0,2,0.0,0,0,0,1,1,1,0,0,4,4.0
19,1.0,2,1.0,0,0,1,2,1,0,1,1,1,4.0
17,1.0,2,0.0,0,0,1,3,0,1,0,1,1,4.0
16,1.0,2,0.0,0,0,1,2,1,1,0,1,5,4.0
18,1.0,2,1.0,1,0,1,3,1,1,0,0,2,4.0
17,1.0,2,1.0,0,1,1,3,1,1,1,1,4,2.0
18,1.0,3,0.0,0,0,1,3,0,0,0,0,1,5.0
20,1.0,4,1.0,0,0,0,2,1,0,0,0,2,3.0
17,1.0,2,1.0,1,1,1,3,1,1,1,1,5,5.0
18,1.0,2,1.0,1,0,0,4,1,1,1,1,4,5.0
18,2.0,2,1.0,0,0,0,1,0,1,0,1,1,3.0
18,1.0,2,1.0,0,0,1,1,1,1,0,1,5,4.0
18,1.0,2,1.0,1,1,1,2,0,1,1,1,5,3.0
18,1.0,2,1.0,0,1,0,2,1,1,1,0,1,4.0
19,1.0,2,1.0,1,1,1,4,1,1,1,1,3,5.0
20,2.0,1,0.0,1,1,0,1,1,1,1,0,2,3.0
17,2.0,1,1.0,0,0,0,4,1,1,0,1,3,5.0
17,1.0,1,1.0,1,1,1,1,1,1,0,1,4,4.0
19,1.0,2,1.0,1,1,1,3,1,1,1,1,3,4.0
17,1.0,2,1.0,1,1,1,2,1,1,1,1,5,5.0
16,2.0,2,1.0,1,1,1,2,1,1,1,1,1,3.0
21,2.0,3,1.0,1,0,0,2,0,1,0,1,3,3.0
20,2.0,4,1.0,0,0,0,3,0,0,1,1,5,4.0
18,1.0,2,1.0,1,0,1,3,1,1,0,0,2,4.0
16,2.0,1,0.0,1,0,0,1,1,1,0,0,4,4.0
17,1.0,2,1.0,1,1,1,3,1,1,1,0,1,4.0
18,1.0,2,0.0,1,0,0,1,0,0,0,1,2,5.0
19,1.0,3,1.0,0,0,0,3,0,0,0,1,1,5.0
17,1.0,2,1.0,1,1,1,2,1,1,1,1,5,4.0
19,2.0,2,1.0,0,0,0,1,1,1,1,0,3,5.0
22,1.0,4,1.0,1,1,1,2,1,1,1,1,5,4.0
19,2.0,2,1.0,0,1,1,3,1,1,1,1,3,2.0
18,1.0,2,1.0,1,0,1,4,1,1,1,0,3,5.0
18,1.0,2,1.0,1,0,0,3,1,1,1,1,3,5.0
19,2.0,3,1.0,1,1,1,4,0,1,1,1,1,3.0
19,1.0,2,1.0,1,1,1,2,1,1,1,1,5,3.0
17,1.0,2,1.0,0,1,1,2,1,0,1,1,1,5.0
19,1.0,2,1.0,1,1,0,1,1,1,1,1,2,5.0
19,1.0,2,0.0,0,0,0,1,1,0,0,0,1,4.0
19,1.0,2,1.0,1,1,1,4,0,1,1,1,4,3.0
19,1.0,2,1.0,1,0,1,3,0,1,0,0,4,3.0
19,2.0,2,1.0,1,0,1,2,0,1,0,1,4,4.0
19,1.0,2,1.0,1,1,1,3,1,1,1,1,5,5.0
20,1.0,2,1.0,1,1,1,4,1,1,1,0,3,4.0
17,1.0,2,0.0,0,0,1,1,1,0,1,0,5,2.0
21,1.0,1,1.0,0,0,1,1,1,1,0,0,5,1.0
17,1.0,2,1.0,1,1,1,3,1,1,1,0,1,1.0
20,1.0,2,1.0,1,1,1,2,1,1,1,0,2,3.0
17,1.0,2,1.0,0,0,1,1,0,1,1,0,2,3.0
19,2.0,2,0.0,0,0,1,2,0,0,1,1,4,2.0
17,2.0,2,1.0,0,1,1,2,1,0,1,1,3,1.0
17,2.0,3,1.0,0,1,1,1,1,1,1,0,1,2.0
21,1.0,3,0.0,1,0,0,1,0,0,1,0,5,3.0
18,1.0,3,1.0,1,1,1,3,1,1,1,1,5,1.0
18,1.0,2,1.0,1,1,1,3,1,1,1,1,5,1.0
19,2.0,2,0.0,1,1,1,1,1,0,1,1,3,3.0
19,1.0,2,1.0,1,1,0,2,1,0,0,0,4,1.0
19,1.0,2,0.0,0,0,1,2,1,0,1,0,5,1.0
17,1.0,2,1.0,0,0,1,3,0,0,1,1,5,2.0
18,1.0,3,1.0,1,0,1,1,0,1,1,0,2,3.0
18,1.0,2,1.0,1,1,1,1,1,1,1,0,4,1.0
18,2.0,3,1.0,0,0,0,2,1,0,1,1,3,1.0
18,2.0,2,1.0,1,1,1,1,1,0,0,0,3,3.0
22,2.0,4,1.0,0,0,0,1,1,1,1,1,5,2.0
21,1.0,4,1.0,0,0,0,1,0,1,0,0,5,3.0
20,1.0,4,1.0,0,0,0,1,0,0,1,1,3,2.0
23,1.0,4,1.0,0,0,0,1,0,1,0,0,3,3.0
20,1.0,4,1.0,1,0,1,1,1,1,1,1,5,1.0
17,1.0,3,0.0,1,0,0,1,1,1,1,1,5,1.0
20,2.0,4,1.0,1,1,1,3,1,1,1,0,4,1.0
17,2.0,2,1.0,1,1,1,1,0,0,1,0,4,2.0
17,2.0,2,0.0,0,0,0,2,1,1,0,1,4,2.0
19,1.0,3,0.0,0,0,1,2,1,0,0,0,5,3.0
21,2.0,2,1.0,0,0,0,2,0,1,0,0,4,1.0
18,1.0,3,1.0,1,1,1,4,1,1,1,1,5,3.0
20,2.0,3,1.0,0,0,1,2,0,0,1,0,5,2.0
18,1.0,3,1.0,0,0,0,1,0,0,1,1,3,1.0
17,2.0,2,1.0,0,1,1,3,1,0,1,1,3,2.0
17,2.0,2,1.0,0,1,1,3,1,1,1,1,1,2.0
21,2.0,3,1.0,1,1,1,2,0,1,0,1,5,3.0
17,2.0,2,1.0,0,1,1,3,0,1,1,1,4,1.0
19,1.0,2,1.0,1,1,1,3,1,1,1,1,5,2.0
20,1.0,2,1.0,0,0,1,2,1,1,0,0,4,2.0
21,1.0,2,1.0,1,1,1,2,1,1,0,1,4,3.0
17,1.0,2,1.0,1,0,1,4,1,1,1,1,1,1.0
18,1.0,2,1.0,1,1,1,4,1,1,1,1,4,2.0
15,1.0,2,1.0,1,1,1,4,1,1,0,1,2,3.0
20,1.0,2,1.0,0,0,0,2,1,0,0,0,5,2.0
18,1.0,2,1.0,1,1,1,4,1,1,1,1,2,1.0
22,1.0,2,1.0,1,1,0,2,0,1,0,1,5,2.0
19,1.0,4,1.0,0,0,0,1,1,1,1,0,5,1.0
15,1.0,2,1.0,1,1,0,2,1,0,0,0,4,3.0
19,2.0,2,1.0,1,1,1,2,1,1,1,1,1,1.0
22,2.0,3,1.0,1,1,1,3,1,1,1,1,3,2.0
19,2.0,3,1.0,1,1,1,2,0,0,0,1,4,3.0
20,2.0,3,1.0,1,1,1,4,1,1,1,1,5,1.0
18,2.0,2,1.0,0,0,1,2,1,1,1,0,5,2.0
18,1.0,2,1.0,0,0,0,2,1,1,1,1,1,1.0
20,2.0,2,1.0,1,1,1,3,1,1,1,0,5,3.0
20,2.0,3,0.0,0,0,0,2,1,1,0,1,5,2.0
20,2.0,3,1.0,0,0,0,1,1,1,1,1,5,2.0
22,2.0,3,0.0,0,1,0,1,1,1,1,1,5,2.0
23,2.0,3,1.0,0,0,0,3,1,1,1,1,5,2.0
14,2.0,3,0.0,0,0,1,2,1,1,1,1,5,2.0
21,2.0,3,1.0,0,0,1,3,0,1,1,0,3,1.0
19,1.0,2,1.0,1,1,1,4,1,1,1,1,5,4.0
16,2.0,1,1.0,1,0,0,3,1,0,1,1,5,1.0
18,1.0,2,1.0,1,0,1,3,1,1,1,1,2,1.0
